domestic_revenue,opening_revenue,opening_theaters,budget,release_days,global_revenue
150000000,80000000,4000,120000000,90,350000000
95000000,50000000,3200,90000000,80,200000000
250000000,100000000,4500,150000000,120,600000000
120000000,45000000,3800,70000000,100,270000000
175000000,75000000,4200,110000000,95,450000000
100000000,40000000,3000,80000000,85,220000000
85000000,35000000,2800,65000000,75,180000000
200000000,90000000,4400,130000000,110,520000000
60000000,25000000,2400,50000000,60,140000000
175000000,70000000,4100,100000000,90,420000000
